table_name,ordinal_position,column_name,data_type,udt_name,is_nullable,column_default
agent_commands,1,id,uuid,uuid,NO,gen_random_uuid()
agent_commands,2,command,text,text,NO,null
agent_commands,3,repo,text,text,NO,'leadclaw-uk'::text
agent_commands,4,status,text,text,NO,'received'::text
agent_commands,5,result,jsonb,jsonb,YES,null
agent_commands,6,created_at,timestamp with time zone,timestamptz,NO,now()
applications,1,id,uuid,uuid,NO,gen_random_uuid()
applications,2,clinic_name,text,text,YES,null
applications,3,contact_name,text,text,NO,null
applications,4,email,text,text,NO,null
applications,5,phone,text,text,YES,null
applications,6,city,text,text,YES,null
applications,7,website,text,text,YES,null
applications,8,services,text,text,YES,null
applications,9,lead_volume,text,text,YES,null
applications,10,notes,text,text,YES,null
applications,11,agreed,boolean,bool,NO,false
applications,12,status,text,text,NO,'new'::text
applications,13,created_at,timestamp with time zone,timestamptz,NO,now()
applications,14,terms_version,text,text,YES,null
applications,15,terms_accepted_at,timestamp with time zone,timestamptz,YES,null
applications,16,privacy_accepted_at,timestamp with time zone,timestamptz,YES,null
applications,17,waiver_accepted_at,timestamp with time zone,timestamptz,YES,null
applications,18,agreement_ip,text,text,YES,null
applications,19,plan,text,text,YES,null
applications,20,stripe_customer_id,text,text,YES,null
appointments,1,id,uuid,uuid,NO,gen_random_uuid()
appointments,2,clinic_id,uuid,uuid,NO,null
appointments,3,patient_name,text,text,NO,null
appointments,4,patient_email,text,text,YES,null
appointments,5,patient_phone,text,text,YES,null
appointments,6,service,text,text,YES,null
appointments,7,appointment_at,timestamp with time zone,timestamptz,NO,null
appointments,8,reminder_48h_sent_at,timestamp with time zone,timestamptz,YES,null
appointments,9,reminder_2h_sent_at,timestamp with time zone,timestamptz,YES,null
appointments,10,review_request_sent_at,timestamp with time zone,timestamptz,YES,null
appointments,11,reminder_eligible,boolean,bool,YES,true
appointments,12,review_eligible,boolean,bool,YES,true
appointments,13,status,text,text,YES,'scheduled'::text
appointments,14,notes,text,text,YES,null
appointments,15,created_at,timestamp with time zone,timestamptz,YES,now()
appointments,16,updated_at,timestamp with time zone,timestamptz,YES,now()
audit_leads,1,id,uuid,uuid,NO,gen_random_uuid()
audit_leads,2,created_at,timestamp with time zone,timestamptz,NO,now()
audit_leads,3,name,text,text,NO,null
audit_leads,4,email,text,text,NO,null
audit_leads,5,website_url,text,text,NO,null
audit_leads,6,audit_score,integer,int4,NO,null
audit_leads,7,audit_summary,text,text,NO,null
audit_leads,8,source,text,text,NO,'free_audit'::text
audit_leads,9,category_scores,jsonb,jsonb,NO,'{}'::jsonb
audit_leads,10,top_recommendations,jsonb,jsonb,NO,'[]'::jsonb
audit_leads,11,report_context,jsonb,jsonb,NO,'{}'::jsonb
audit_leads,12,consent,boolean,bool,NO,false
audit_leads,13,consent_text,text,text,YES,null
audit_leads,14,consent_version,text,text,YES,null
audit_leads,15,consent_captured_at,timestamp with time zone,timestamptz,YES,null
billing_notifications,1,id,uuid,uuid,NO,gen_random_uuid()
billing_notifications,2,subscription_id,uuid,uuid,NO,null
billing_notifications,3,email,text,text,NO,null
billing_notifications,4,stage,text,text,NO,null
billing_notifications,5,status,text,text,NO,null
billing_notifications,6,error,text,text,YES,null
billing_notifications,7,created_at,timestamp with time zone,timestamptz,NO,now()
classification_cache,1,id,uuid,uuid,NO,gen_random_uuid()
classification_cache,2,business_name,text,text,NO,null
classification_cache,3,subscriber_type,text,text,NO,null
classification_cache,4,confidence,double precision,float8,YES,0.0
classification_cache,5,company_name_matched,text,text,YES,null
classification_cache,6,company_number,text,text,YES,null
classification_cache,7,company_status,text,text,YES,null
classification_cache,8,company_type,text,text,YES,null
classification_cache,9,reason,text,text,YES,null
classification_cache,10,classified_at,timestamp with time zone,timestamptz,YES,now()
classification_cache,11,expires_at,timestamp with time zone,timestamptz,YES,(now() + '30 days'::interval)
client_messages,1,id,uuid,uuid,NO,gen_random_uuid()
client_messages,2,user_id,uuid,uuid,NO,null
client_messages,3,sender,text,text,NO,null
client_messages,4,message,text,text,NO,null
client_messages,5,created_at,timestamp with time zone,timestamptz,NO,now()
clinic_settings,1,clinic_id,uuid,uuid,NO,null
clinic_settings,2,receptionist_prompt,text,text,NO,"'You are an AI receptionist for a UK beauty clinic. Be friendly, concise, and helpful.
Your goal: collect name + contact + service + preferred time. If unsure, ask one question at a time.'::text"
clinic_settings,3,business_hours,text,text,YES,'Mon-Fri 09:00-18:00'::text
clinic_settings,4,services_json,jsonb,jsonb,YES,'[]'::jsonb
clinic_settings,5,created_at,timestamp with time zone,timestamptz,NO,now()
clinic_settings,6,updated_at,timestamp with time zone,timestamptz,NO,now()
clinic_settings,7,google_review_url,text,text,YES,null
clinic_settings,8,review_requests_enabled,boolean,bool,YES,true
clinic_settings,9,reminders_enabled,boolean,bool,YES,true
clinics,1,id,uuid,uuid,NO,gen_random_uuid()
clinics,2,name,text,text,NO,null
clinics,3,owner_user_id,uuid,uuid,YES,null
clinics,4,subscription_status,text,text,NO,'trial'::text
clinics,5,plan,text,text,NO,'trial'::text
clinics,6,created_at,timestamp with time zone,timestamptz,NO,now()
conversations,1,id,uuid,uuid,NO,gen_random_uuid()
conversations,2,clinic_id,uuid,uuid,NO,null
conversations,3,visitor_id,uuid,uuid,YES,null
conversations,4,status,text,text,NO,'open'::text
conversations,5,created_at,timestamp with time zone,timestamptz,NO,now()
early_access_signups,1,id,uuid,uuid,NO,gen_random_uuid()
early_access_signups,2,email,text,text,NO,null
early_access_signups,3,requested_plan,text,text,NO,'growth'::text
early_access_signups,4,source,text,text,NO,'pricing'::text
early_access_signups,5,created_at,timestamp with time zone,timestamptz,NO,now()
email_suppressions,1,id,uuid,uuid,NO,gen_random_uuid()
email_suppressions,2,email,text,text,NO,null
email_suppressions,3,reason,text,text,YES,null
email_suppressions,4,source,text,text,YES,null
email_suppressions,5,suppressed_at,timestamp with time zone,timestamptz,NO,now()
enquiries,1,id,uuid,uuid,NO,gen_random_uuid()
enquiries,2,clinic_id,uuid,uuid,NO,null
enquiries,3,conversation_id,uuid,uuid,YES,null
enquiries,4,name,text,text,YES,null
enquiries,5,phone,text,text,YES,null
enquiries,6,email,text,text,YES,null
enquiries,7,service,text,text,YES,null
enquiries,8,preferred_time,text,text,YES,null
enquiries,9,status,text,text,NO,'new'::text
enquiries,10,created_at,timestamp with time zone,timestamptz,NO,now()
enquiries,11,notes,text,text,YES,null
enquiries,12,auto_reply_sent_at,timestamp with time zone,timestamptz,YES,null
enquiries,13,follow_up_sent_at,timestamp with time zone,timestamptz,YES,null
enquiries,14,follow_up_eligible,boolean,bool,YES,true
